,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
111907,83MNTL,Motorfiets,DUCATI,03/30/2021 12:00:00 AM,2021-03-30
111908,83MNTP,Motorfiets,TRIUMPH,03/20/2021 12:00:00 AM,2021-03-20
111909,83MNTR,Motorfiets,YAMAHA,04/02/2021 12:00:00 AM,2021-04-02
111914,83MNTZ,Motorfiets,YAMAHA,03/30/2021 12:00:00 AM,2021-03-30
111915,83MNVB,Motorfiets,MASH,03/30/2021 12:00:00 AM,2021-03-30
111917,83MNVF,Motorfiets,HONDA,03/31/2021 12:00:00 AM,2021-03-31
111919,83MNVH,Motorfiets,SUZUKI,03/30/2021 12:00:00 AM,2021-03-30
111921,83MNVK,Motorfiets,BMW,03/31/2021 12:00:00 AM,2021-03-31
111922,83MNVL,Motorfiets,HONDA,04/03/2021 12:00:00 AM,2021-04-03
111923,83MNVN,Motorfiets,BMW,03/31/2021 12:00:00 AM,2021-03-31
111929,83MNVX,Motorfiets,KAWASAKI,04/22/2021 12:00:00 AM,2021-04-22
111932,83MNXD,Motorfiets,PIAGGIO,04/09/2021 12:00:00 AM,2021-04-09
111937,83MNXK,Motorfiets,INDIAN MOTORCYCLE,04/17/2021 12:00:00 AM,2021-04-17
111938,83MNXL,Motorfiets,KTM,05/07/2021 12:00:00 AM,2021-05-07
111939,83MNXN,Motorfiets,ROYAL ENFIELD,04/16/2021 12:00:00 AM,2021-04-16
111940,83MNXP,Motorfiets,HONDA,04/15/2021 12:00:00 AM,2021-04-15
111942,83MNXS,Motorfiets,KTM,04/18/2021 12:00:00 AM,2021-04-18
111944,83MNXV,Motorfiets,YAMAHA,04/23/2021 12:00:00 AM,2021-04-23
111946,83MNXZ,Motorfiets,YAMAHA,04/23/2021 12:00:00 AM,2021-04-23
111948,83MNZD,Motorfiets,KTM,04/20/2021 12:00:00 AM,2021-04-20
111950,83MNZG,Motorfiets,PIAGGIO,04/28/2021 12:00:00 AM,2021-04-28
111953,83MNZL,Motorfiets,YAMAHA,05/01/2021 12:00:00 AM,2021-05-01
111955,83MNZP,Motorfiets,BMW,05/20/2021 12:00:00 AM,2021-05-20
111956,83MNZS,Motorfiets,SUZUKI,05/18/2021 12:00:00 AM,2021-05-18
111957,83MNZV,Motorfiets,INDIAN MOTORCYCLE,05/05/2021 12:00:00 AM,2021-05-05
111962,83MPBF,Motorfiets,TRIUMPH,05/07/2021 12:00:00 AM,2021-05-07
111964,83MPBJ,Motorfiets,KAWASAKI,05/07/2021 12:00:00 AM,2021-05-07
111965,83MPBK,Motorfiets,KTM,06/01/2021 12:00:00 AM,2021-06-01
111966,83MPBL,Motorfiets,BMW,05/07/2021 12:00:00 AM,2021-05-07
111967,83MPBN,Motorfiets,YAMAHA,05/08/2021 12:00:00 AM,2021-05-08
111968,83MPBP,Motorfiets,KAWASAKI,05/08/2021 12:00:00 AM,2021-05-08
111972,83MPBV,Motorfiets,MOTO GUZZI,05/12/2021 12:00:00 AM,2021-05-12
